	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	3	6	0
2	11	1b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	4	0	0	0	0	0	1	3	4	3	9	0
3	17	2a	[P1]	[S0]	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	null	T0	4	0	0	2	0	0	6	6	4	2	9	2
4	23	2b	[P0, P1]	[S0]	null	null	null	[S1]	null	null	null	null	null	null	null	null	null	T0	4	0	0	6	0	0	3	11	4	0	7	6
5	29	3a	null	[S0]	[S1]	null	[P1]	null	null	null	null	null	[P0]	null	null	null	null	T0	4	0	0	6	0	1	3	14	4	2	9	7
6	35	3b	[S1]	null	null	null	null	[S0]	null	[P0]	null	null	[P1]	null	null	null	null	T0	4	0	0	6	12	1	0	2	16	4	9	7
7	41	4a	[P0]	[S0]	null	null	[P1]	[S1]	null	null	null	null	null	null	null	null	null	T0	4	5	0	6	12	1	2	7	16	2	3	12
8	47	4b	[S1, P0]	null	null	null	[S0]	null	null	null	null	null	[P1]	null	null	null	null	T0	6	5	0	6	12	1	1	7	18	4	3	12
9	53	5a	[P0]	[S1]	[S0]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	6	5	0	6	12	1	3	13	18	4	6	12
10	59	5b	null	[S1]	null	null	null	[S0]	null	[P0]	null	null	[P1]	null	null	null	null	T0	6	5	12	6	12	1	0	1	30	4	9	12
11	65	6a	[P0]	[S1]	[S0]	null	null	null	null	null	null	null	[P1]	null	null	null	null	T0	6	5	12	6	12	1	2	7	30	4	12	12
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	6	5	12	6	14	13	1	7	32	1	0	24
